Avg_value,TP9,AF7,AF8,TP10
-70.5449673964749,-38.21861978047423,-117.89635409840157,-95.10531297798126,-30.959582729042527
-137.0768435414667,-41.32209473010039,-357.70153755732395,-114.01448708310289,-35.269254795339464
-72.13624354234614,-55.77053489783594,-94.65931976395498,-83.35821322255165,-54.75690628504196
-125.38669506572269,-9.61448877421399,-293.88507892361486,-192.25742700407272,-5.7897855609891815
-49.86550191306254,-30.603493611079873,-73.00879521774637,-69.67042975647945,-26.17928906694446
-46.37799628289396,-27.925690449217765,-65.54353549325027,-67.99069124562232,-24.05206794348551
-73.24635679345954,-31.797298569895133,-144.7289346725528,-91.20255738384847,-25.256636547541753
-87.99778057269609,-32.53959298240706,-179.28646357362237,-115.25719695445251,-24.907868780302383
-100.85951016530542,-32.398160634107235,-212.41574524337884,-127.51524306104628,-31.108891722689343
-100.98495701089345,-30.371934930378426,-208.97401819740628,-133.9164131375792,-30.677461778209924
-102.90830437912204,-29.060996943845048,-216.62870384194719,-137.50773411742279,-28.435782613273133
-93.52687877441254,-26.709518823921883,-194.9044055197054,-126.8963866140272,-25.59720413999565
-82.5958750435322,-36.93501800252066,-147.64404960982318,-111.7996181922741,-34.004814369510854
-101.68643494746614,-45.83984928613342,-193.15745856908012,-124.52317293763437,-43.22525899701663
-93.7712495352792,-17.227408157612565,-210.06998858971573,-136.22403424558067,-11.563567148207802
-85.35376691676883,-25.34998812450126,-163.9456764307587,-125.66922606440431,-26.450177047411053
-99.31539722157636,-27.988270069271472,-201.02694952453282,-139.2792828615613,-28.96708643093987
-105.97297249779041,-34.35939838890405,-218.59970378586482,-138.0006275565762,-32.93216025981657
-55.98871222004544,-25.883524412145892,-84.95608472536264,-88.84162573020504,-24.273614012468222
-94.99681602926874,-28.605669151709062,-198.85727951175275,-127.03898751331933,-25.485327940293807
-108.84568054923086,59.06257980590952,-71.25194722104725,-491.06831156355327,67.87495678176752
103.50006957914408,79.53693524603979,45.92570290169468,220.55553033658956,67.98210983225232
-531.5171269705968,-128.90304609313782,-891.9291487988352,-993.1733139015372,-112.06299908887705
-31.309987703124765,-62.87674749583053,282.2841668987378,-287.4171534990385,-57.23021671636785
-54.446844051081605,-55.778980302699466,-34.874874870520586,-78.85934426673792,-48.27417676436844
-75.48050393401758,-50.50181688835582,-138.09977169905852,-68.80301786758511,-44.51740928107083
-76.83025527578485,-41.33479572047287,-151.01588303639824,-79.17966554086668,-35.79067680540162
-54.78592007219592,-39.91785577879587,57.8214621886897,-200.81579145533794,-36.23149524333957
-59.987298262112894,-61.56573632726546,-65.36780547186319,-50.26836770031048,-62.74728354901246
-51.6292028820076,4.006882364616397,-166.63071993892626,-51.58269392400523,7.689719970284693
-82.34282348316341,-31.843488801041783,-176.94341865298964,-89.7796995084823,-30.804686970139915
-98.30018017762757,-40.25406225261064,-221.5791869926421,-93.01493613917225,-38.3525353260853
-89.1832497792753,-32.69914151054515,-199.20317546457812,-94.7948099850924,-30.03587215688557
-88.83912973635624,-33.279942145619756,-187.22159693865262,-105.31144596451566,-29.543533896636923
-84.60266648201936,-30.588956263798796,-177.9475280031596,-101.99397436357451,-27.880207297544537
-79.20081192965992,-29.987758753304597,-170.02842274507046,-93.1520093276902,-23.635056892574436
-97.16071517692224,-30.860592370553523,-213.07458633719946,-116.31997260570698,-28.387709394228963
-76.75584782720914,-26.53222080303794,-163.2867213412471,-90.08079541330841,-27.12365375124313
-104.2030890883244,-36.35137118527584,-227.64288954343434,-118.11915975867285,-34.6989358659146
-90.18368792035895,-30.813550025743048,-186.19466533978297,-116.1642843133214,-27.56225200258838
-78.87284149537267,-35.32010387366332,-153.20035183135616,-97.33588776549648,-29.63502251097471
-93.0172539837518,-32.43358311920887,-198.8609970020669,-113.93693372016608,-26.837502093565377
-97.3709800878181,-32.440778536262854,-207.03673527970938,-119.59896287067639,-30.40744366462377
-79.24584854661134,-32.142276869011475,-153.72309501369253,-101.90829669825058,-29.20972560549079
-102.53644753713078,-29.993503572113468,-228.4214186156772,-125.06079630768262,-26.670071653049806
-88.75935879856479,-34.06889300914707,-181.67178346189996,-110.0467353579597,-29.250023365252456
-73.98659218680069,-29.906986974653844,-136.5787709727752,-102.2385883505823,-27.222022449191385
-98.6597208908533,-32.90225435671475,-211.01160293519555,-117.67967543545932,-33.04535083604353
-117.02471862142428,-31.716222332775097,-252.1094719916929,-152.79752220138187,-31.475657959847254
169.2944424782432,104.78731119436667,337.5282563673501,132.90424708065657,101.95795527059953
-80.7399172434449,5.42495912570236,-286.9332587093374,-34.06071850235113,-7.390650887793459
-506.61522411026533,-103.9296262555872,-865.6944896686754,-971.6261079381808,-85.21067257861795
21.29347199014188,-67.40852931141461,314.58319259489014,-101.87567091542051,-60.12510440748747
-52.78607733367586,-55.47770934095922,-21.903120498950347,-85.5120821818641,-48.251397312929775
-30.041631092894143,-42.37444295090148,-12.332285935405928,-21.24017976616291,-44.21961571910626
-35.81058639205771,-35.427578024920166,-50.9569298430815,-27.021383862253597,-29.836453837975558
-72.51027851391177,-36.96837368331673,-139.05029651858052,-77.59180876978533,-36.43063508396451
-60.48800829893207,-30.201277430806957,-119.74516171384558,-61.36960395584422,-30.63599009523152
-60.9895997618177,-33.59284639568491,-91.57567060880623,-90.57927115929516,-28.21061088348449
-11.087394610005132,-21.933389557930298,-43.19259518580049,36.13007208849398,-15.353665784783727
-159.24324020969314,-26.843166469853777,-328.3141959485162,-269.88443186117973,-11.93116655922277
-54.322618089717395,-35.394960423750895,-51.738095756926306,-84.4440918957694,-45.713324282422974
-110.77499826085166,-32.193496140791154,-200.1553575729689,-179.59489675905718,-31.156242570589416
-71.77977201005294,-29.909159829737202,-123.23890332405851,-101.55927318670591,-32.411751699710145
-79.92922379422158,-49.19673708800185,-122.67145564242485,-102.82115052921583,-45.02755191724378
-78.27353964625978,-12.446603175240076,-187.74987402598086,-104.60584178697918,-8.291839596839004
-75.5136749025835,-28.733481103039303,-157.13927746681713,-92.20794580103082,-23.97399523944679
-91.66275896024324,-28.515786404978567,-196.09707942792193,-115.3707858344667,-26.66738417360576
68.8686867917065,5.9694941349689,97.45013919335413,159.4414877724678,12.613626066035152
163.8803343510828,-53.295753012498615,297.39452777173136,475.6132518122751,-64.19068916717657
-486.72746597901835,-50.65847889567341,-897.5347227760275,-956.7582293489484,-41.95843289542434
-37.74400322749279,3.383415756680539,-7.887372792714359,-155.35220791527271,8.880152041335391
-102.41941595828811,-68.81234742943963,-190.8879361789947,-86.75605890737273,-63.2213213173454
-70.68028844840018,-15.926591599975803,-160.8356655207005,-90.91192302852657,-15.046973644397848
-89.72908329201995,-30.9160248044371,-192.89418705729855,-109.73560041914818,-25.370520887196
-75.72567678478171,-32.52740896809107,-145.3304096688754,-93.83026673569469,-31.214621766465726
-84.88254298103367,-33.8926974078194,-168.3114641723338,-110.93406023991551,-26.391950104065987
-79.11398996074664,-31.316776754643328,-151.38115230403034,-105.89396420001081,-27.86406658430206
-146.83163756093268,-16.851323019741702,-317.34469812658233,-235.4116636111856,-17.718865486221194
311.9090170733798,74.12976811881984,564.8208646126925,549.2571475144009,59.428288047605946
-555.7412394181305,-119.03040228732003,-999.205375128171,-999.3790511178793,-105.3501291391517
-96.04045878816027,-40.47130929757735,-10.40621495636019,-295.1908401007898,-38.09347079791369
-73.4304258206141,-48.14351775849767,-90.16181857892951,-109.90431808401569,-45.51204886101356
-61.180790523103354,-39.249534803468045,-92.16768158182394,-73.14660380308834,-40.159341904033084
-74.33385677081343,-35.139891141738914,-134.92065188299168,-94.47448102655176,-32.80040303197137
-92.33887685492094,-32.98118376055604,-189.01639163080486,-119.42885485717801,-27.929077171144872
-62.25056050249143,-26.1150448291893,-110.746522719184,-91.00915008349094,-21.1315243781015
-75.27931690477102,-31.08262526516209,-147.04792127540065,-95.65614286476963,-27.33057821375172
-95.26764552673544,-29.338602939662994,-205.5459019944806,-121.79173460051763,-24.39434257228051
-69.4750655399599,-28.982020875953033,-138.82407141549916,-85.62469704197544,-24.46947282641197
-13.082122943316492,-14.370789122048794,-49.66840776183686,24.0739896521733,-12.363284541553613
280.80754684487096,75.22244901546775,368.3694157072429,612.8585238041976,66.77979885257568
-75.16143073461174,-17.77373572730165,-408.3381732033312,145.27663686883926,-19.810450876653377
-75.91701134262482,-32.26976580164494,-179.46210042669432,-62.27591689945506,-29.66026224270496
-107.73711743068466,-31.79880884539437,-196.4439782382868,-176.72742273564427,-25.97825990341322
-77.37677746282392,-33.7006356115526,-94.9436925393048,-147.56412749855613,-33.298654201882165
-99.62748498970882,-40.09728752808755,-126.27243190669677,-201.7980868873742,-30.342133636676763
-60.326213669878385,-35.44358037184864,-107.0896034136424,-66.06878629808213,-32.702884595940375
-75.58894217487804,-35.05411521245641,-136.62756331433366,-96.03831844789956,-34.63577172482257
-78.64580508804258,-45.45051425148415,-136.9090271108407,-93.26693919376721,-38.95673979607823
-66.29050118997328,-34.65624600811758,-131.05647170717796,-64.74016472298008,-34.70912232161754
-16.223285115369034,-27.726409088524846,-69.2854116145489,56.89493793373754,-24.776257692139918
