timestamps,TP9,AF7,AF8,TP10,Right AUX
1678793440.297,-1.953,95.703,62.012,-118.652,18.555
1678793440.301,-46.875,92.773,41.992,-104.980,16.602
1678793440.305,-26.367,85.449,43.457,37.598,29.297
1678793440.309,-14.160,69.824,34.180,85.938,72.754
1678793440.313,-5.371,69.336,34.668,-17.090,83.008
1678793440.317,-0.977,69.336,51.270,-127.441,2.930
1678793440.320,-29.297,62.500,50.781,-97.656,26.855
1678793440.324,-32.715,55.664,37.109,26.367,23.438
1678793440.328,-10.742,42.969,20.996,82.520,31.738
1678793440.332,16.113,47.363,28.320,6.836,9.766
1678793440.336,25.391,73.242,54.688,-95.703,4.395
1678793440.340,6.348,87.402,63.477,-77.637,23.438
1678793440.344,-40.527,70.801,36.621,4.395,-5.859
1678793440.348,-36.133,69.824,26.367,75.195,-61.035
1678793440.352,10.742,89.844,36.621,49.316,-17.578
1678793440.356,6.836,95.215,48.340,-69.336,56.641
1678793440.360,-20.508,99.609,60.059,-109.863,81.055
1678793440.363,-34.668,89.355,50.293,-10.742,129.883
1678793440.367,-23.438,68.359,42.969,92.285,114.258
1678793440.371,4.395,73.730,56.152,58.594,47.363
1678793440.375,-11.719,86.914,69.824,-61.523,1.465
1678793440.379,-42.480,86.426,71.289,-115.234,46.875
1678793440.383,-42.480,76.660,72.754,-25.391,-2.441
1678793440.387,-36.133,56.641,56.152,83.984,-13.672
1678793440.391,-13.184,41.504,42.480,42.480,45.898
1678793440.395,-8.301,50.293,62.500,-72.754,31.738
1678793440.399,-42.480,59.082,76.172,-106.934,53.711
1678793440.403,-56.152,43.457,74.219,-4.395,45.410
1678793440.406,-53.223,9.277,54.688,85.938,0.977
1678793440.410,-18.066,-12.695,43.457,79.590,16.113
1678793440.414,10.742,-5.371,58.105,-7.324,47.363
1678793440.418,-14.160,-13.184,75.195,-91.797,59.570
1678793440.422,-32.715,-39.551,70.801,-32.715,73.242
1678793440.426,-8.789,-45.410,65.918,120.605,63.965
1678793440.430,24.902,-63.965,71.777,154.785,67.871
1678793440.434,26.855,-102.051,66.895,22.949,58.105
1678793440.438,17.578,-132.324,76.172,-74.219,-20.020
1678793440.442,-12.207,-171.387,79.102,-31.250,-16.113
1678793440.445,-12.695,-220.215,68.359,93.262,48.340
1678793440.449,6.836,-261.230,55.176,125.488,28.809
1678793440.453,20.996,-296.875,55.664,33.203,-40.039
1678793440.457,8.301,-334.961,74.219,-67.871,-48.340
1678793440.461,-26.855,-380.859,89.355,-58.594,3.906
1678793440.465,-29.785,-436.523,83.496,61.035,42.480
1678793440.469,2.930,-478.027,69.336,104.980,64.453
1678793440.473,47.363,-512.695,86.426,38.086,87.402
1678793440.477,27.832,-550.293,96.191,-81.543,39.551
1678793440.481,-20.020,-574.219,80.566,-116.211,5.371
1678793440.485,-26.855,-582.031,71.289,0.977,6.836
1678793440.488,-16.113,-585.938,67.383,62.988,2.441
1678793440.492,13.184,-577.148,73.242,0.488,43.945
1678793440.496,19.531,-555.176,80.078,-95.703,65.430
1678793440.500,-5.859,-538.574,77.637,-112.793,49.316
1678793440.504,-23.438,-526.855,60.059,-18.066,84.473
1678793440.508,0.977,-515.625,47.363,56.152,45.410
1678793440.512,20.508,-508.789,51.758,10.742,25.879
1678793440.516,23.438,-488.281,69.824,-81.543,68.848
1678793440.520,9.766,-465.332,78.125,-123.535,24.902
1678793440.524,-23.438,-458.008,64.941,-41.504,-18.555
1678793440.528,-3.418,-442.383,56.641,65.918,-11.719
1678793440.531,30.762,-410.156,56.152,36.133,-26.855
1678793440.535,43.457,-376.465,63.477,-67.383,-21.484
1678793440.539,12.207,-352.051,72.754,-108.887,6.348
1678793440.543,-16.113,-345.215,71.289,-30.762,74.707
1678793440.547,-3.906,-351.562,53.223,61.035,113.281
1678793440.551,3.418,-345.215,42.969,43.457,77.148
1678793440.555,-3.906,-323.730,53.223,-50.781,44.434
1678793440.559,-20.508,-303.711,60.547,-128.418,56.641
1678793440.563,-6.348,-285.645,71.289,-42.480,64.453
1678793440.567,-11.230,-279.297,61.523,64.941,-14.160
1678793440.570,-19.531,-278.809,39.551,34.668,-4.883
1678793440.574,-1.465,-253.418,53.223,-66.895,22.461
1678793440.578,-5.371,-226.074,67.383,-136.230,-17.578
1678793440.582,-15.625,-210.449,64.941,-83.008,-5.371
1678793440.586,-6.348,-199.219,56.152,26.855,29.297
1678793440.590,13.184,-196.289,46.387,41.504,47.852
1678793440.594,20.508,-183.105,50.293,-61.523,20.508
1678793440.598,3.906,-168.457,68.359,-150.879,10.254
1678793440.602,-26.367,-162.598,65.918,-103.516,11.719
1678793440.606,-11.230,-153.809,54.199,14.160,42.480
1678793440.610,18.555,-143.066,55.664,44.434,40.039
1678793440.613,7.812,-138.672,49.805,-54.199,44.922
1678793440.617,6.836,-131.348,66.895,-141.113,21.484
1678793440.621,-15.625,-120.605,74.707,-107.422,56.641
1678793440.625,-21.484,-132.812,60.059,3.418,80.078
1678793440.629,13.672,-149.414,53.223,78.125,-5.371
1678793440.633,33.203,-138.672,59.570,4.395,-35.645
1678793440.637,13.672,-125.488,66.406,-119.629,23.926
1678793440.641,-16.113,-114.746,67.383,-111.816,35.645
1678793440.645,-14.648,-106.445,57.129,-8.301,14.648
1678793440.649,2.441,-107.910,38.086,56.641,25.391
1678793440.652,43.457,-96.680,56.152,28.320,4.395
1678793440.656,39.062,-73.730,72.266,-87.402,6.348
1678793440.660,-23.438,-71.777,56.641,-130.859,-20.996
1678793440.664,-27.344,-82.031,56.641,-32.715,21.484
1678793440.668,15.625,-78.125,49.316,54.199,61.523
1678793440.672,34.180,-70.801,44.434,23.438,21.484
1678793440.676,29.785,-57.129,54.688,-103.516,20.020
1678793440.680,15.137,-41.504,66.895,-127.930,34.180
1678793440.684,-12.695,-41.992,56.641,-41.016,60.059
1678793440.688,-10.742,-46.875,36.621,45.898,95.703
1678793440.692,1.953,-44.922,34.180,37.598,41.992
1678793440.695,22.949,-35.156,55.176,-56.152,-23.438
1678793440.699,8.301,-33.203,62.988,-97.168,39.551
1678793440.703,-26.367,-38.574,43.945,-48.340,26.367
1678793440.707,-3.906,-47.363,36.133,53.223,-6.348
1678793440.711,10.254,-50.293,35.156,60.547,-6.836
1678793440.715,13.672,-34.668,41.504,-51.270,-18.555
1678793440.719,0.977,-16.113,53.711,-116.699,-26.855
1678793440.723,-25.879,-20.996,54.199,-55.176,16.113
1678793440.727,-10.254,-36.621,47.363,63.477,65.918
1678793440.731,20.020,-32.227,42.480,77.637,62.500
1678793440.734,20.020,-30.273,49.805,-38.086,26.367
1678793440.738,3.906,-28.809,62.500,-111.816,-22.949
1678793440.742,5.859,-7.812,75.684,-47.852,-23.438
1678793440.746,-2.930,-16.113,58.105,46.875,65.918
1678793440.750,4.883,-30.762,36.621,64.453,43.945
1678793440.754,27.344,-19.531,52.246,-22.461,-0.977
1678793440.758,7.812,-5.371,70.801,-116.699,0.977
1678793440.762,-16.113,0.000,74.219,-69.824,5.371
1678793440.766,-12.207,-8.789,59.082,51.758,22.949
1678793440.770,26.367,-20.508,55.176,99.609,0.000
1678793440.774,39.062,-12.207,65.430,29.785,25.391
1678793440.777,5.371,0.488,76.660,-82.031,79.102
1678793440.781,-11.719,-2.930,78.613,-91.797,-9.766
